date,regularballs,powerball
"May 4, 2019","6, 16, 23, 30, 61",2
"May 8, 2019","1, 45, 53, 64, 66",3
"May 11, 2019","6, 8, 9, 37, 40",26
"May 15, 2019","7, 17, 33, 61, 68",4
"May 18, 2019","2, 10, 25, 66, 67",26
"May 22, 2019","7, 10, 20, 44, 57",3
"May 25, 2019","1, 2, 39, 43, 66",2
"May 29, 2019","3, 32, 34, 42, 61",7
"June 1, 2019","6, 15, 34, 45, 52",8
"June 5, 2019","17, 23, 28, 34, 38",8
"June 8, 2019","9, 13, 42, 48, 60",18
"June 12, 2019","5, 35, 38, 42, 57",13
"June 15, 2019","8, 11, 14, 16, 49",14
"June 19, 2019","4, 18, 21, 26, 38",1
"June 22, 2019","3, 6, 11, 14, 66",21
"June 26, 2019","1, 5, 16, 22, 54",24
"June 29, 2019","13, 17, 24, 59, 62",8
"July 3, 2019","40, 43, 45, 50, 61",25
"July 6, 2019","4, 8, 23, 46, 65",1
"July 10, 2019","7, 9, 26, 44, 68",3
"July 13, 2019","13, 23, 32, 35, 68",21
"July 17, 2019","19, 43, 47, 60, 68",10
"July 20, 2019","5, 26, 36, 64, 69",19
"July 24, 2019","22, 29, 35, 53, 56",13
"July 27, 2019","1, 19, 31, 48, 61",6
"July 31, 2019","14, 37, 47, 55, 67",6
"August 3, 2019","3, 6, 45, 66, 68",13
"August 7, 2019","8, 32, 47, 53, 59",3
"August 10, 2019","35, 41, 44, 58, 59",3
"August 14, 2019","10, 13, 30, 51, 69",10
"August 17, 2019","18, 21, 24, 30, 60",20
"August 21, 2019","12, 21, 22, 29, 32",21
"August 24, 2019","5, 12, 20, 21, 47",1
"August 28, 2019","9, 32, 37, 41, 56",14
"August 31, 2019","14, 41, 50, 56, 57",18
"September 4, 2019","4, 8, 30, 52, 59",2
"September 7, 2019","11, 20, 41, 42, 56",6
"September 11, 2019","6, 17, 24, 53, 57",3
"September 14, 2019","11, 27, 31, 36, 67",11
"September 18, 2019","14, 19, 39, 47, 51",15
"September 21, 2019","1, 9, 22, 36, 68",22
"September 25, 2019","37, 43, 44, 45, 53",25
"September 28, 2019","15, 23, 34, 51, 55",4
"October 2, 2019","4, 8, 10, 43, 53",7
"October 5, 2019","6, 14, 36, 51, 54",4
"October 9, 2019","5, 18, 33, 43, 65",2
"October 12, 2019","12, 29, 34, 53, 65",23
"October 16, 2019","1, 5, 25, 63, 67",3
"October 19, 2019","14, 27, 29, 59, 65",12
"October 23, 2019","5, 12, 50, 61, 69",23
"October 26, 2019","3, 20, 48, 54, 59",4
"October 30, 2019","19, 22, 52, 56, 67",21
"November 2, 2019","3, 23, 32, 37, 58",22
"November 6, 2019","15, 28, 46, 62, 64",17
"November 9, 2019","14, 17, 35, 38, 60",25
"November 13, 2019","23, 26, 27, 28, 66",11
"November 16, 2019","14, 22, 26, 55, 63",26
"November 20, 2019","7, 15, 39, 40, 57",12
"November 23, 2019","28, 35, 38, 61, 66",23
"November 27, 2019","15, 26, 37, 53, 55",21
"November 30, 2019","15, 35, 42, 63, 68",18
"December 4, 2019","8, 27, 44, 51, 61",14
"December 7, 2019","18, 42, 53, 62, 66",25
"December 11, 2019","24, 29, 42, 44, 63",10
"December 14, 2019","3, 6, 12, 32, 64",19
"December 18, 2019","14, 18, 26, 39, 68",9
"December 21, 2019","19, 31, 35, 50, 67",14
"December 25, 2019","2, 4, 16, 30, 46",20
"December 28, 2019","20, 23, 39, 59, 60",18
"January 1, 2020","49, 53, 57, 59, 62",26
"January 4, 2020","1, 11, 21, 25, 54",7
"January 8, 2020","2, 4, 7, 43, 56",22
"January 11, 2020","3, 21, 23, 31, 59",3
"January 15, 2020","39, 41, 53, 55, 68",19
"January 18, 2020","20, 24, 38, 56, 68",18
"January 22, 2020","11, 33, 44, 59, 67",8
"January 25, 2020","2, 9, 17, 36, 67",18
"January 29, 2020","9, 12, 15, 31, 60",2
"February 1, 2020","12, 33, 54, 57, 60",13
"February 5, 2020","23, 30, 35, 41, 57",2
"February 8, 2020","35, 49, 50, 59, 66",6
"February 12, 2020","14, 47, 54, 55, 68",25
"February 15, 2020","16, 32, 35, 36, 46",3
"February 19, 2020","10, 12, 15, 19, 56",19
"February 22, 2020","25, 37, 39, 61, 62",11
"February 26, 2020","8, 27, 29, 36, 47",24
"February 29, 2020","24, 44, 46, 50, 51",13
"March 4, 2020","18, 43, 58, 60, 68",14
"March 7, 2020","7, 15, 21, 33, 62",23
"March 11, 2020","4, 29, 49, 50, 67",2
"March 14, 2020","9, 23, 26, 30, 32",8
"March 18, 2020","15, 27, 44, 59, 63",8
"March 21, 2020","2, 23, 40, 59, 69",13
"March 25, 2020","5, 9, 27, 39, 42",16
"March 28, 2020","7, 40, 48, 55, 66",11
"April 1, 2020","33, 35, 45, 48, 60",16
"April 4, 2020","8, 31, 39, 40, 43",4
"April 8, 2020","2, 37, 39, 48, 54",5
"April 11, 2020","22, 29, 30, 42, 47",17
"April 15, 2020","10, 12, 33, 36, 41",2
"April 18, 2020","4, 44, 46, 56, 63",19
"April 22, 2020","1, 33, 35, 40, 69",24
"April 25, 2020","1, 3, 21, 47, 57",18
"April 29, 2020","2, 20, 49, 61, 67",20
"May 2, 2020","13, 16, 33, 58, 68",24
"May 6, 2020","7, 8, 35, 50, 65",20
"May 9, 2020","12, 18, 42, 48, 65",19
"May 13, 2020","39, 53, 54, 56, 57",20
"May 16, 2020","8, 12, 26, 39, 42",11
"May 20, 2020","18, 34, 40, 42, 50",9
"May 23, 2020","2, 8, 18, 21, 23",16
"May 27, 2020","38, 58, 59, 64, 68",21
"May 30, 2020","13, 32, 41, 58, 60",14
"June 3, 2020","1, 3, 26, 41, 64",17
"June 6, 2020","1, 17, 38, 68, 69",18
"June 10, 2020","10, 33, 41, 52, 54",18
"June 13, 2020","2, 12, 32, 50, 65",5
"June 17, 2020","7, 10, 63, 64, 68",10
"June 20, 2020","10, 31, 41, 63, 67",5
"June 24, 2020","15, 22, 27, 33, 46",23
"June 27, 2020","9, 36, 49, 56, 62",8
"July 1, 2020","15, 28, 52, 53, 63",18
"July 4, 2020","16, 21, 27, 60, 61",6
"July 8, 2020","3, 10, 34, 36, 62",5
"July 11, 2020","14, 19, 61, 62, 64",4
"July 15, 2020","27, 47, 61, 62, 69",4
"July 18, 2020","13, 16, 32, 58, 59",9
"July 22, 2020","16, 25, 36, 44, 55",14
"July 25, 2020","5, 21, 36, 61, 62",18
"July 29, 2020","7, 29, 35, 40, 45",26
"August 1, 2020","6, 25, 36, 43, 48",24
"August 5, 2020","7, 14, 17, 57, 65",24
"August 8, 2020","2, 3, 14, 40, 51",24
"August 12, 2020","2, 6, 18, 36, 37",21
"August 15, 2020","5, 12, 34, 45, 56",3
"August 19, 2020","13, 23, 47, 55, 58",23
"August 22, 2020","19, 30, 36, 42, 66",14
"August 26, 2020","8, 12, 19, 47, 58",2
"August 29, 2020","5, 21, 22, 29, 43",10
"September 2, 2020","1, 4, 11, 20, 69",18
"September 5, 2020","15, 21, 22, 27, 47",7
"September 9, 2020","27, 52, 55, 60, 64",21
"September 12, 2020","16, 17, 20, 53, 67",4
"September 16, 2020","10, 17, 31, 51, 53",1
"September 19, 2020","11, 14, 23, 47, 57",14
"September 23, 2020","8, 17, 49, 52, 59",1
"September 26, 2020","11, 21, 27, 36, 62",24
"September 30, 2020","14, 18, 36, 49, 67",18
"October 3, 2020","18, 31, 36, 43, 47",20
"October 7, 2020","6, 24, 30, 53, 56",19
"October 10, 2020","5, 18, 23, 40, 50",18
"October 14, 2020","21, 37, 52, 53, 58",5
"October 17, 2020","6, 10, 31, 37, 44",23
"October 21, 2020","1, 3, 13, 44, 56",26
"October 24, 2020","18, 20, 27, 45, 65",6
"October 28, 2020","11, 28, 37, 40, 53",13
"October 31, 2020","2, 6, 40, 42, 55",24
"November 4, 2020","23, 32, 33, 45, 49",14
"November 7, 2020","14, 16, 37, 48, 58",18
"November 11, 2020","13, 15, 17, 45, 63",13
"November 14, 2020","7, 15, 18, 32, 45",20
"November 18, 2020","4, 5, 17, 43, 52",5
"November 21, 2020","51, 54, 57, 60, 69",11
"November 25, 2020","2, 57, 58, 60, 65",26
"November 28, 2020","8, 12, 18, 44, 51",18
"December 2, 2020","28, 31, 40, 41, 46",4
"December 5, 2020","3, 4, 6, 48, 53",10
"December 9, 2020","11, 14, 31, 47, 48",4
"December 12, 2020","17, 54, 56, 63, 69",20
"December 16, 2020","4, 23, 37, 61, 67",7
"December 19, 2020","27, 32, 34, 43, 52",13
"December 23, 2020","6, 13, 38, 39, 53",6
"December 26, 2020","10, 24, 27, 35, 53",18
"December 30, 2020","3, 43, 45, 61, 65",14
"January 2, 2021","3, 4, 11, 41, 67",5
"January 6, 2021","1, 20, 22, 60, 66",3
"January 9, 2021","14, 26, 38, 45, 46",13
"January 13, 2021","4, 19, 23, 25, 49",14
"January 16, 2021","14, 20, 39, 65, 67",2
"January 20, 2021","40, 53, 60, 68, 69",22
"January 23, 2021","5, 8, 17, 27, 28",14
"January 27, 2021","17, 33, 35, 42, 52",9
"January 30, 2021","1, 2, 7, 52, 61",4
"February 3, 2021","5, 37, 40, 64, 66",5
"February 6, 2021","1, 16, 48, 49, 65",8
"February 10, 2021","15, 39, 58, 63, 67",7
"February 13, 2021","20, 28, 33, 63, 68",20
"February 17, 2021","1, 15, 21, 32, 46",1
"February 20, 2021","4, 8, 22, 32, 58",4
"February 24, 2021","4, 33, 43, 53, 65",21
"February 27, 2021","2, 28, 31, 44, 52",18
"March 3, 2021","21, 40, 44, 50, 55",16
"March 6, 2021","11, 31, 50, 52, 58",18
"March 10, 2021","17, 18, 37, 44, 53",18
"March 13, 2021","5, 11, 51, 56, 61",2
"March 17, 2021","34, 38, 42, 61, 62",19
"March 20, 2021","1, 6, 22, 42, 61",4
"March 24, 2021","4, 9, 17, 27, 38",18
"March 27, 2021","6, 14, 38, 39, 65",6
"March 31, 2021","3, 10, 44, 55, 68",24
"April 3, 2021","1, 12, 17, 39, 53",5
"April 7, 2021","27, 35, 39, 51, 66",16
"April 10, 2021","14, 16, 23, 50, 53",3
"April 14, 2021","13, 30, 33, 45, 61",14
"April 17, 2021","10, 21, 26, 41, 49",25
"April 21, 2021","21, 25, 32, 63, 67",6
"April 24, 2021","22, 36, 48, 59, 61",22
"April 28, 2021","16, 18, 35, 39, 53",21
"May 1, 2021","35, 36, 47, 61, 63",3
"May 5, 2021","16, 23, 28, 40, 63",1
"May 8, 2021","12, 17, 20, 21, 26",8
"May 12, 2021","1, 19, 20, 38, 54",17
"May 15, 2021","4, 10, 37, 39, 69",24
"May 19, 2021","11, 13, 55, 56, 69",4
"May 22, 2021","3, 19, 27, 37, 40",8
"May 26, 2021","2, 8, 21, 34, 62",16
"May 29, 2021","11, 13, 22, 27, 46",20
"June 2, 2021","6, 7, 11, 66, 67",19
"June 5, 2021","44, 52, 54, 64, 69",26
"June 9, 2021","19, 28, 46, 50, 54",9
"June 12, 2021","8, 25, 34, 38, 41",10
"June 16, 2021","19, 29, 34, 44, 50",25
"June 19, 2021","4, 22, 35, 38, 39",20
"June 23, 2021","13, 20, 40, 51, 63",1
"June 26, 2021","8, 31, 39, 43, 60",17
"June 30, 2021","24, 29, 50, 65, 66",14
"July 3, 2021","26, 40, 41, 55, 65",24
"July 7, 2021","8, 21, 30, 49, 57",8
"July 10, 2021","1, 5, 29, 54, 62",3
"July 14, 2021","33, 46, 52, 59, 62",10
"July 17, 2021","15, 22, 38, 54, 66",3
"July 21, 2021","27, 28, 44, 67, 68",11
"July 24, 2021","1, 4, 11, 59, 67",10
"July 28, 2021","25, 30, 53, 59, 60",5
"July 31, 2021","1, 21, 22, 34, 47",4
"August 4, 2021","5, 21, 32, 36, 58",14
"August 7, 2021","7, 24, 36, 54, 60",23
"August 11, 2021","12, 18, 20, 29, 30",16
"August 14, 2021","6, 21, 49, 65, 67",18
"August 18, 2021","35, 36, 51, 55, 61",26
"August 21, 2021","16, 28, 36, 39, 59",4
"August 23, 2021","17, 36, 47, 60, 61",15
"August 23, 2021","3, 28, 34, 39, 63",25
"August 25, 2021","27, 39, 54, 56, 59",24
"August 25, 2021","19, 31, 41, 51, 53",25
"August 28, 2021","12, 22, 26, 46, 59",26
"August 28, 2021","6, 13, 41, 47, 48",10
"August 30, 2021","3, 15, 45, 51, 61",8
"August 30, 2021","18, 27, 42, 43, 47",13
"September 1, 2021","10, 20, 29, 48, 51",17
"September 1, 2021","23, 35, 45, 59, 63",24
"September 4, 2021","32, 35, 40, 52, 54",1
"September 4, 2021","4, 40, 42, 49, 54",24
"September 6, 2021","11, 20, 22, 33, 54",24
"September 6, 2021","5, 10, 31, 38, 43",20
"September 8, 2021","9, 22, 41, 47, 61",21
"September 8, 2021","5, 33, 40, 50, 59",6
"September 11, 2021","20, 31, 38, 40, 49",21
"September 11, 2021","7, 39, 54, 64, 67",11
"September 13, 2021","37, 40, 50, 61, 63",21
"September 13, 2021","15, 29, 32, 35, 56",9
"September 15, 2021","1, 4, 18, 46, 62",25
"September 15, 2021","5, 34, 36, 38, 57",7
"September 18, 2021","5, 36, 39, 45, 57",11
"September 18, 2021","1, 11, 17, 20, 42",20
"September 20, 2021","37, 51, 54, 58, 60",19
"September 20, 2021","6, 12, 49, 58, 67",7
"September 22, 2021","20, 40, 47, 55, 63",5
"September 22, 2021","6, 7, 36, 41, 59",7
"September 25, 2021","22, 23, 37, 62, 63",19
"September 25, 2021","14, 18, 27, 31, 56",2
"September 27, 2021","21, 22, 39, 44, 60",12
"September 27, 2021","2, 27, 51, 62, 66",1
"September 29, 2021","2, 7, 11, 17, 32",11
"September 29, 2021","3, 19, 29, 50, 58",3
"October 2, 2021","28, 38, 42, 47, 52",1
"October 2, 2021","6, 12, 39, 58, 61",22
"October 4, 2021","12, 22, 54, 66, 69",15
"October 4, 2021","4, 13, 18, 61, 63",17
"October 6, 2021","1, 17, 52, 58, 64",1
"October 6, 2021","1, 5, 17, 22, 30",4
"October 9, 2021","12, 17, 30, 45, 62",5
"October 9, 2021","1, 26, 37, 38, 62",17
"October 11, 2021","11, 20, 33, 39, 65",24
"October 11, 2021","9, 39, 44, 49, 60",12
"October 13, 2021","23, 29, 47, 59, 60",15
"October 13, 2021","10, 34, 37, 58, 60",7
"October 16, 2021","30, 31, 41, 42, 48",3
"October 16, 2021","26, 33, 42, 44, 45",20
"October 18, 2021","30, 32, 48, 53, 63",12
"October 18, 2021","2, 19, 21, 62, 66",7
"October 20, 2021","7, 29, 36, 41, 43",5
"October 20, 2021","1, 4, 31, 37, 64",24
"October 23, 2021","10, 30, 51, 57, 63",20
"October 23, 2021","3, 8, 10, 11, 33",7
"October 25, 2021","10, 27, 29, 44, 58",24
"October 25, 2021","1, 26, 29, 46, 67",13
"October 27, 2021","3, 6, 26, 35, 51",17
"October 27, 2021","9, 17, 21, 26, 35",6
"October 30, 2021","5, 23, 28, 43, 56",19
"October 30, 2021","26, 29, 35, 39, 46",11
"November 1, 2021","9, 25, 34, 44, 45",8
"November 1, 2021","15, 37, 43, 44, 50",2
"November 3, 2021","1, 2, 24, 50, 57",26
"November 3, 2021","10, 22, 24, 37, 47",2
"November 6, 2021","8, 30, 48, 57, 64",9
"November 6, 2021","5, 23, 27, 52, 55",9
"November 8, 2021","21, 46, 47, 57, 62",8
"November 8, 2021","5, 6, 15, 22, 51",19
"November 10, 2021","19, 25, 43, 46, 48",14
"November 10, 2021","10, 31, 49, 58, 67",4
"November 13, 2021","8, 15, 26, 35, 45",9
"November 13, 2021","13, 16, 28, 37, 60",7
"November 15, 2021","5, 31, 34, 51, 53",23
"November 15, 2021","1, 6, 10, 52, 64",18
"November 17, 2021","3, 16, 48, 52, 60",1
"November 17, 2021","32, 44, 46, 55, 68",22
"November 20, 2021","40, 43, 48, 59, 69",19
"November 20, 2021","3, 24, 37, 44, 46",19
"November 22, 2021","7, 20, 29, 38, 67",22
"November 22, 2021","7, 22, 27, 39, 50",4
"November 24, 2021","10, 16, 32, 63, 65",17
"November 24, 2021","1, 18, 23, 25, 61",17
"November 27, 2021","8, 32, 55, 64, 66",10
"November 27, 2021","7, 11, 19, 31, 58",14
"November 29, 2021","18, 26, 28, 38, 47",17
"November 29, 2021","1, 31, 59, 67, 68",14
"December 1, 2021","12, 15, 38, 57, 63",24
"December 1, 2021","2, 25, 34, 58, 59",26
"December 4, 2021","10, 40, 45, 56, 67",2
"December 4, 2021","6, 19, 36, 46, 59",8
"December 6, 2021","3, 21, 38, 50, 59",6
"December 6, 2021","8, 15, 27, 55, 66",17
"December 8, 2021","3, 7, 33, 50, 69",24
"December 8, 2021","2, 9, 51, 63, 68",15
"December 11, 2021","3, 25, 44, 53, 64",10
"December 11, 2021","10, 20, 28, 46, 62",25
"December 13, 2021","10, 30, 37, 53, 59",4
"December 13, 2021","18, 25, 28, 41, 53",13
"December 15, 2021","19, 20, 40, 42, 59",15
"December 15, 2021","11, 21, 22, 50, 58",2
"December 18, 2021","2, 6, 24, 51, 61",1
"December 18, 2021","9, 16, 37, 57, 66",11
"December 20, 2021","2, 13, 23, 34, 66",2
"December 20, 2021","8, 26, 36, 37, 47",19
"December 22, 2021","7, 16, 19, 48, 68",15
"December 22, 2021","4, 25, 49, 59, 61",11
"December 25, 2021","27, 29, 45, 55, 58",2
"December 25, 2021","1, 15, 28, 48, 51",26
"December 27, 2021","36, 38, 45, 62, 64",19
"December 27, 2021","6, 11, 23, 24, 40",9
"December 29, 2021","2, 6, 9, 33, 39",11
"December 29, 2021","43, 51, 53, 63, 68",5
"January 1, 2022","6, 12, 39, 48, 50",7
"January 1, 2022","4, 6, 7, 10, 30",9
"January 3, 2022","2, 13, 32, 33, 48",22
"January 3, 2022","4, 19, 26, 64, 65",16
"January 5, 2022","6, 14, 25, 33, 46",17
"January 5, 2022","23, 41, 56, 62, 65",4
"January 8, 2022","20, 21, 36, 60, 65",13
"January 8, 2022","31, 48, 50, 54, 66",20
"January 10, 2022","14, 17, 18, 21, 27",9
"January 10, 2022","11, 28, 47, 59, 68",23
"January 12, 2022","12, 21, 22, 30, 33",24
"January 12, 2022","14, 25, 50, 53, 66",2
"January 15, 2022","3, 18, 37, 51, 59",13
"January 15, 2022","7, 16, 24, 53, 62",24
"January 17, 2022","9, 24, 35, 46, 65",22
"January 17, 2022","7, 19, 33, 38, 64",22
"January 19, 2022","11, 15, 43, 55, 61",10
"January 19, 2022","24, 25, 35, 59, 63",11
"January 22, 2022","8, 14, 33, 36, 67",17
"January 22, 2022","2, 10, 30, 45, 47",21
"January 24, 2022","11, 29, 30, 47, 53",16
"January 24, 2022","1, 20, 22, 23, 33",18
"January 26, 2022","4, 11, 38, 49, 69",16
"January 26, 2022","10, 27, 40, 43, 45",25
"January 29, 2022","2, 15, 38, 54, 65",11
"January 29, 2022","18, 35, 39, 53, 69",5
"January 31, 2022","10, 15, 51, 61, 69",14
"January 31, 2022","28, 31, 33, 38, 61",5
"February 2, 2022","18, 29, 33, 62, 63",15
"February 2, 2022","12, 39, 55, 66, 67",16
"February 5, 2022","5, 16, 27, 39, 61",24
"February 5, 2022","13, 17, 24, 44, 52",17
"February 7, 2022","5, 15, 38, 47, 65",10
"February 7, 2022","9, 20, 27, 47, 55",14
"February 9, 2022","2, 17, 33, 51, 63",26
"February 9, 2022","21, 36, 42, 47, 68",3
"February 12, 2022","8, 10, 21, 41, 62",7
"February 12, 2022","4, 6, 15, 53, 61",23
"February 14, 2022","16, 25, 27, 49, 55",17
"February 14, 2022","1, 5, 35, 37, 49",11
"February 16, 2022","22, 30, 40, 42, 48",16
"February 16, 2022","18, 25, 28, 30, 38",10
"February 19, 2022","3, 10, 15, 33, 42",11
"February 19, 2022","21, 22, 30, 41, 67",3
"February 21, 2022","2, 36, 37, 45, 69",3
"February 21, 2022","22, 23, 29, 39, 43",18
"February 23, 2022","6, 17, 21, 35, 64",18
"February 23, 2022","7, 11, 19, 34, 59",14
"February 26, 2022","15, 32, 36, 48, 64",19
"February 26, 2022","22, 25, 58, 62, 64",18
"February 28, 2022","7, 21, 39, 47, 55",19
"February 28, 2022","11, 16, 28, 44, 51",16
"March 2, 2022","19, 37, 48, 61, 63",12
"March 2, 2022","1, 7, 10, 32, 56",13
"March 5, 2022","8, 23, 37, 52, 63",13
"March 5, 2022","2, 25, 32, 33, 50",12
"March 7, 2022","10, 43, 55, 59, 67",2
"March 7, 2022","17, 24, 26, 41, 43",26
"March 9, 2022","13, 22, 34, 51, 67",10
"March 9, 2022","8, 9, 43, 45, 63",4
"March 12, 2022","19, 20, 37, 39, 61",8
"March 12, 2022","4, 16, 40, 49, 50",15
"March 14, 2022","21, 28, 32, 44, 49",6
"March 14, 2022","7, 8, 11, 19, 40",6
"March 16, 2022","3, 28, 34, 35, 58",17
"March 16, 2022","15, 22, 48, 50, 67",16
"March 19, 2022","8, 9, 18, 48, 52",6
"March 19, 2022","27, 31, 53, 57, 68",3
"March 21, 2022","1, 15, 26, 63, 65",16
"March 21, 2022","14, 17, 25, 51, 57",24
"March 23, 2022","31, 32, 37, 38, 48",24
"March 23, 2022","15, 18, 24, 26, 62",1
"March 26, 2022","2, 10, 50, 59, 61",6
"March 26, 2022","18, 39, 40, 55, 60",25
"March 28, 2022","11, 18, 39, 58, 62",3
"March 28, 2022","23, 32, 36, 51, 59",9
"March 30, 2022","3, 7, 21, 31, 37",11
"March 30, 2022","1, 24, 44, 48, 52",22
"April 2, 2022","6, 28, 47, 58, 59",18
"April 2, 2022","6, 7, 41, 57, 61",14
"April 4, 2022","2, 32, 39, 46, 69",6
"April 4, 2022","6, 49, 55, 58, 59",15
"April 6, 2022","6, 42, 45, 47, 64",18
"April 6, 2022","4, 29, 56, 57, 58",2
"April 9, 2022","6, 16, 31, 62, 66",18
"April 9, 2022","3, 5, 35, 48, 67",5
"April 11, 2022","5, 7, 24, 31, 34",4
"April 11, 2022","18, 20, 24, 29, 47",12
"April 13, 2022","14, 16, 41, 63, 68",26
"April 13, 2022","17, 51, 54, 55, 58",19
"April 16, 2022","15, 21, 32, 62, 65",26
"April 16, 2022","33, 40, 47, 55, 64",5
"April 18, 2022","8, 33, 55, 59, 62",18
"April 18, 2022","12, 17, 29, 65, 66",7
"April 20, 2022","20, 30, 45, 55, 56",14
"April 20, 2022","4, 15, 16, 21, 52",20
"April 23, 2022","10, 39, 47, 49, 56",8
"April 23, 2022","2, 30, 39, 54, 63",17
"April 25, 2022","12, 18, 20, 39, 61",10
"April 25, 2022","14, 23, 29, 38, 43",20
"April 27, 2022","11, 36, 61, 62, 68",4
"April 27, 2022","1, 12, 35, 38, 50",10
"April 30, 2022","14, 21, 37, 44, 63",1
"April 30, 2022","11, 30, 48, 56, 69",20
"May 2, 2022","18, 27, 33, 39, 44",8
"May 2, 2022","6, 23, 29, 37, 65",12
"May 4, 2022","37, 39, 55, 63, 69",23
"May 4, 2022","6, 31, 39, 44, 46",26
"May 7, 2022","4, 5, 6, 28, 67",10
"May 7, 2022","14, 22, 38, 56, 60",17
"May 9, 2022","18, 30, 35, 52, 56",5
"May 9, 2022","3, 42, 45, 57, 67",2
"May 11, 2022","5, 7, 61, 63, 69",18
"May 11, 2022","2, 24, 34, 42, 54",11
"May 14, 2022","6, 40, 41, 45, 52",9
"May 14, 2022","23, 36, 41, 42, 65",14
"May 16, 2022","7, 15, 22, 36, 64",13
"May 16, 2022","7, 12, 34, 35, 67",26
"May 18, 2022","40, 41, 58, 64, 65",17
"May 18, 2022","9, 27, 41, 59, 64",21
"May 21, 2022","14, 15, 25, 52, 58",11
"May 21, 2022","16, 20, 35, 54, 69",15
"May 23, 2022","1, 33, 37, 39, 42",26
"May 23, 2022","33, 45, 60, 62, 65",2
"May 25, 2022","19, 28, 39, 42, 57",17
"May 25, 2022","3, 16, 20, 33, 45",11
"May 28, 2022","2, 39, 50, 61, 66",15
"May 28, 2022","11, 34, 52, 61, 69",24
"May 30, 2022","27, 28, 51, 68, 69",22
"May 30, 2022","11, 13, 22, 44, 51",15
"June 1, 2022","11, 41, 56, 57, 63",2
"June 1, 2022","9, 20, 22, 39, 47",10
"June 4, 2022","14, 16, 36, 52, 60",16
"June 4, 2022","11, 39, 41, 55, 61",10
"June 6, 2022","2, 10, 35, 44, 46",4
"June 6, 2022","1, 10, 36, 53, 61",21
"June 8, 2022","22, 39, 43, 62, 64",7
"June 8, 2022","23, 49, 51, 58, 65",12
"June 11, 2022","18, 20, 26, 53, 69",5
"June 11, 2022","1, 32, 46, 56, 65",23
"June 13, 2022","2, 27, 42, 44, 51",25
"June 13, 2022","8, 20, 35, 48, 67",15
"June 15, 2022","19, 28, 41, 42, 51",7
"June 15, 2022","3, 44, 47, 48, 67",11
"June 18, 2022","10, 19, 40, 45, 58",25
"June 18, 2022","7, 18, 23, 30, 53",3
"June 20, 2022","3, 44, 61, 63, 69",13
"June 20, 2022","4, 26, 27, 43, 56",18
"June 22, 2022","6, 10, 31, 48, 56",12
"June 22, 2022","7, 31, 39, 51, 53",21
"June 25, 2022","6, 12, 20, 27, 32",4
"June 25, 2022","16, 46, 58, 63, 69",18
"June 27, 2022","11, 13, 18, 30, 37",16
"June 27, 2022","34, 47, 53, 57, 68",2
"June 29, 2022","8, 40, 49, 58, 63",14
"June 29, 2022","11, 26, 28, 34, 60",5
"July 2, 2022","9, 10, 37, 59, 62",26
"July 2, 2022","4, 7, 22, 57, 59",24
"July 4, 2022","15, 16, 24, 31, 56",4
"July 4, 2022","9, 41, 55, 57, 60",5
"July 6, 2022","32, 36, 49, 62, 69",13
"July 6, 2022","2, 5, 20, 26, 31",13
"July 9, 2022","14, 22, 42, 46, 52",24
"July 9, 2022","14, 23, 24, 57, 65",18
"July 11, 2022","4, 26, 34, 37, 52",9
"July 11, 2022","16, 25, 38, 62, 67",5
"July 13, 2022","22, 23, 36, 47, 63",2
"July 13, 2022","14, 17, 21, 32, 37",8
"July 16, 2022","3, 18, 23, 32, 57",21
"July 16, 2022","2, 19, 32, 36, 56",5
"July 18, 2022","14, 34, 36, 50, 58",5
"July 18, 2022","9, 29, 39, 43, 56",19
"July 20, 2022","10, 20, 23, 49, 65",22
"July 20, 2022","4, 14, 26, 30, 52",18
"July 23, 2022","39, 41, 54, 59, 62",12
"July 23, 2022","20, 29, 34, 50, 63",20
"July 25, 2022","25, 37, 38, 39, 65",5
"July 25, 2022","34, 41, 43, 66, 68",8
"July 27, 2022","1, 25, 44, 55, 57",26
"July 27, 2022","2, 10, 11, 63, 68",1
"July 30, 2022","4, 17, 57, 58, 68",12
"July 30, 2022","16, 19, 23, 32, 40",15
"August 1, 2022","15, 21, 31, 36, 65",16
"August 1, 2022","11, 26, 27, 55, 57",2
"August 3, 2022","9, 21, 56, 57, 66",11
"August 3, 2022","24, 28, 29, 31, 48",12
"August 6, 2022","8, 15, 46, 56, 68",3
"August 6, 2022","9, 19, 30, 40, 48",16
"August 8, 2022","32, 45, 51, 57, 58",12
"August 8, 2022","11, 42, 46, 48, 57",9
"August 10, 2022","29, 44, 59, 61, 68",19
"August 10, 2022","11, 24, 30, 53, 69",7
"August 13, 2022","19, 24, 35, 43, 62",2
"August 13, 2022","10, 29, 37, 43, 65",19
"August 15, 2022","20, 24, 47, 50, 63",5
"August 15, 2022","16, 37, 53, 56, 63",22
"August 17, 2022","23, 28, 41, 50, 55",24
"August 17, 2022","15, 16, 36, 53, 61",14
"August 20, 2022","5, 9, 11, 16, 66",7
"August 20, 2022","14, 19, 36, 39, 65",25
"August 22, 2022","12, 27, 34, 55, 67",9
"August 22, 2022","42, 50, 59, 61, 64",21
"August 24, 2022","6, 24, 35, 37, 44",22
"August 24, 2022","14, 30, 38, 52, 62",24
"August 27, 2022","2, 18, 56, 60, 65",14
"August 27, 2022","16, 18, 43, 49, 51",6
