date,regularballs,powerball
"March 21, 2015","11, 16, 30, 38, 42",7
"March 25, 2015","7, 19, 23, 50, 54",14
"March 28, 2015","2, 4, 6, 12, 38",17
"April 1, 2015","2, 30, 33, 39, 44",1
"April 4, 2015","33, 39, 40, 41, 54",28
"April 8, 2015","1, 19, 45, 46, 58",29
"April 11, 2015","1, 12, 32, 42, 58",12
"April 15, 2015","1, 16, 21, 29, 40",30
"April 18, 2015","13, 22, 23, 29, 31",17
"April 22, 2015","10, 14, 25, 39, 53",18
"April 25, 2015","21, 33, 35, 38, 45",12
"April 29, 2015","1, 26, 34, 38, 51",6
"May 2, 2015","2, 6, 11, 30, 31",33
"May 6, 2015","23, 24, 27, 39, 41",30
"May 9, 2015","4, 15, 17, 35, 58",17
"May 13, 2015","1, 25, 29, 31, 47",7
"May 16, 2015","24, 29, 38, 48, 52",32
"May 20, 2015","1, 12, 28, 35, 44",25
"May 23, 2015","9, 15, 17, 31, 43",16
"May 27, 2015","8, 15, 34, 53, 59",23
"May 30, 2015","8, 9, 25, 56, 57",22
"June 3, 2015","6, 8, 13, 37, 40",11
"June 6, 2015","8, 13, 18, 27, 43",15
"June 10, 2015","31, 32, 48, 49, 53",25
"June 13, 2015","29, 41, 48, 52, 54",29
"June 17, 2015","20, 21, 22, 41, 54",7
"June 20, 2015","9, 10, 16, 20, 57",15
"June 24, 2015","3, 5, 10, 22, 32",7
"June 27, 2015","18, 28, 35, 46, 49",27
"July 1, 2015","7, 24, 26, 31, 41",25
"July 4, 2015","3, 6, 14, 18, 24",21
"July 8, 2015","4, 15, 25, 27, 30",18
"July 11, 2015","11, 39, 46, 52, 54",3
"July 15, 2015","13, 16, 34, 45, 50",11
"July 18, 2015","6, 37, 39, 45, 55",33
"July 22, 2015","12, 31, 43, 44, 57",11
"July 25, 2015","27, 29, 34, 41, 44",2
"July 29, 2015","4, 22, 27, 28, 52",35
"August 1, 2015","7, 13, 24, 49, 57",15
"August 5, 2015","9, 11, 14, 16, 42",19
"August 8, 2015","9, 34, 48, 52, 54",15
"August 12, 2015","8, 13, 29, 38, 52",28
"August 15, 2015","3, 13, 17, 42, 52",24
"August 19, 2015","6, 8, 43, 48, 50",7
"August 22, 2015","4, 12, 14, 21, 55",7
"August 26, 2015","2, 22, 32, 45, 56",12
"August 29, 2015","18, 21, 25, 28, 29",16
"September 2, 2015","17, 22, 30, 46, 56",16
"September 5, 2015","10, 16, 18, 29, 45",19
"September 9, 2015","44, 45, 47, 50, 51",8
"September 12, 2015","2, 3, 13, 16, 35",27
"September 16, 2015","5, 7, 24, 31, 39",7
"September 19, 2015","12, 17, 26, 43, 48",24
"September 23, 2015","8, 29, 41, 51, 58",5
"September 26, 2015","23, 31, 42, 50, 57",5
"September 30, 2015","21, 39, 40, 55, 59",17
"October 3, 2015","6, 26, 33, 44, 46",4
"October 7, 2015","18, 30, 40, 48, 52",9
"October 10, 2015","12, 27, 29, 43, 68",1
"October 14, 2015","15, 20, 29, 31, 40",1
"October 17, 2015","48, 49, 57, 62, 69",19
"October 21, 2015","30, 32, 42, 56, 57",11
"October 24, 2015","20, 31, 56, 60, 64",2
"October 28, 2015","4, 54, 56, 62, 63",10
"October 31, 2015","9, 20, 25, 47, 68",7
"November 4, 2015","2, 12, 17, 20, 65",17
"November 7, 2015","7, 16, 25, 50, 53",15
"November 11, 2015","4, 26, 32, 55, 64",18
"November 14, 2015","14, 22, 37, 45, 66",5
"November 18, 2015","17, 40, 41, 46, 69",6
"November 21, 2015","37, 47, 50, 52, 57",21
"November 25, 2015","16, 29, 53, 58, 69",21
"November 28, 2015","2, 6, 47, 66, 67",2
"December 2, 2015","14, 18, 19, 32, 64",9
"December 5, 2015","13, 27, 33, 47, 68",13
"December 9, 2015","7, 10, 16, 46, 56",1
"December 12, 2015","2, 14, 19, 30, 62",22
